sid,city,district
1000722,彰化縣,埤頭鄉
1000723,彰化縣,芳苑鄉
1000724,彰化縣,大城鄉
1000725,彰化縣,竹塘鄉
1000726,彰化縣,溪州鄉
1000801,南投縣,南投市
1000802,南投縣,埔里鎮
1000803,南投縣,草屯鎮
1000804,南投縣,竹山鎮
1000805,南投縣,集集鎮
1000806,南投縣,名間鄉
1000807,南投縣,鹿谷鄉
1000808,南投縣,中寮鄉
1000809,南投縣,魚池鄉
1000810,南投縣,國姓鄉
1000811,南投縣,水里鄉
1000812,南投縣,信義鄉
1000813,南投縣,仁愛鄉
1000901,雲林縣,斗六市
1000902,雲林縣,斗南鎮
1000903,雲林縣,虎尾鎮
1000904,雲林縣,西螺鎮
1000905,雲林縣,土庫鎮
1000906,雲林縣,北港鎮
1000907,雲林縣,古坑鄉
1000908,雲林縣,大埤鄉
1000909,雲林縣,莿桐鄉
1000910,雲林縣,林內鄉
1000911,雲林縣,二崙鄉
1000912,雲林縣,崙背鄉
1000913,雲林縣,麥寮鄉
1000914,雲林縣,東勢鄉
1000915,雲林縣,褒忠鄉
1000916,雲林縣,臺西鄉
1000917,雲林縣,元長鄉
1000918,雲林縣,四湖鄉
1000919,雲林縣,口湖鄉
1000920,雲林縣,水林鄉
1001001,嘉義縣,太保市
1001002,嘉義縣,朴子市
1001003,嘉義縣,布袋鎮
1001004,嘉義縣,大林鎮
1001005,嘉義縣,民雄鄉
1001006,嘉義縣,溪口鄉
1001007,嘉義縣,新港鄉
1001008,嘉義縣,六腳鄉
1001009,嘉義縣,東石鄉
1001010,嘉義縣,義竹鄉
1001011,嘉義縣,鹿草鄉
1001012,嘉義縣,水上鄉
1001013,嘉義縣,中埔鄉
1001014,嘉義縣,竹崎鄉
1001015,嘉義縣,梅山鄉
1001016,嘉義縣,番路鄉
1001017,嘉義縣,大埔鄉
1001018,嘉義縣,阿里山鄉
1001301,屏東縣,屏東市
1001302,屏東縣,潮州鎮
1001303,屏東縣,東港鎮
1001304,屏東縣,恆春鎮
1001305,屏東縣,萬丹鄉
1001306,屏東縣,長治鄉
1001307,屏東縣,麟洛鄉
1001308,屏東縣,九如鄉
1001309,屏東縣,里港鄉
1001310,屏東縣,鹽埔鄉
1001311,屏東縣,高樹鄉
1001312,屏東縣,萬巒鄉
1001313,屏東縣,內埔鄉
1001314,屏東縣,竹田鄉
1001315,屏東縣,新埤鄉
1001316,屏東縣,枋寮鄉
1001317,屏東縣,新園鄉
1001318,屏東縣,崁頂鄉
1001319,屏東縣,林邊鄉
1001320,屏東縣,南州鄉
1001321,屏東縣,佳冬鄉
1001322,屏東縣,琉球鄉
1001323,屏東縣,車城鄉
1001324,屏東縣,滿州鄉
1001325,屏東縣,枋山鄉
1001326,屏東縣,三地門鄉
1001327,屏東縣,霧臺鄉
1001328,屏東縣,瑪家鄉
1001329,屏東縣,泰武鄉
1001330,屏東縣,來義鄉
1001331,屏東縣,春日鄉
1001332,屏東縣,獅子鄉
1001333,屏東縣,牡丹鄉
1001401,臺東縣,臺東市
1001402,臺東縣,成功鎮
1001403,臺東縣,關山鎮
1001404,臺東縣,卑南鄉
1001405,臺東縣,鹿野鄉
1001406,臺東縣,池上鄉
1001407,臺東縣,東河鄉
1001408,臺東縣,長濱鄉
1001409,臺東縣,太麻里鄉
1001410,臺東縣,大武鄉
1001411,臺東縣,綠島鄉
1001412,臺東縣,海端鄉
1001413,臺東縣,延平鄉
1001414,臺東縣,金峰鄉
1001415,臺東縣,達仁鄉
1001416,臺東縣,蘭嶼鄉
1001501,花蓮縣,花蓮市
1001502,花蓮縣,鳳林鎮
1001503,花蓮縣,玉里鎮
1001504,花蓮縣,新城鄉
1001505,花蓮縣,吉安鄉
1001506,花蓮縣,壽豐鄉
1001507,花蓮縣,光復鄉
1001508,花蓮縣,豐濱鄉
1001509,花蓮縣,瑞穗鄉
1001510,花蓮縣,富里鄉
1001511,花蓮縣,秀林鄉
1001512,花蓮縣,萬榮鄉
1001513,花蓮縣,卓溪鄉
1001601,澎湖縣,馬公市
1001602,澎湖縣,湖西鄉
1001603,澎湖縣,白沙鄉
1001604,澎湖縣,西嶼鄉
1001605,澎湖縣,望安鄉
1001606,澎湖縣,七美鄉
1001701,基隆市,中正區
1001702,基隆市,七堵區
1001703,基隆市,暖暖區
1001704,基隆市,仁愛區
1001705,基隆市,中山區
1001706,基隆市,安樂區
1001707,基隆市,信義區
1001801,新竹市,東區
1001802,新竹市,北區
1001803,新竹市,香山區
1002001,嘉義市,東區
1002002,嘉義市,西區
900701,連江縣,南竿鄉
900702,連江縣,北竿鄉
900703,連江縣,莒光鄉
900704,連江縣,東引鄉
902001,金門縣,金城鎮
902002,金門縣,金沙鎮
902003,金門縣,金湖鎮
902004,金門縣,金寧鄉
902005,金門縣,烈嶼鄉
902006,金門縣,烏坵鄉
